net,length_um
_0038_,13.125
_0869_,13.08
cam_mod_01.camera_init_01.sender.data_temp\[6\],13.06
_0153_,13.04
_0375_,13.04
_0300_,12.92
_0626_,12.89
_0356_,12.84
_0721_,12.72
cam_mod_01.camera_init_01.data_send\[13\],12.6
_0354_,12.52
_0379_,12.52
_0453_,12.5
_0278_,12.48
net37,12.36
net42,12.36
net43,12.36
_0313_,12.32
_0215_,12.26
_0713_,12.22
_0148_,12.2
vga_xvalid,12.18
_0147_,12.16
net36,12.16
net34,12.09
_0847_,12.08
_0114_,11.96
_0587_,11.76
_0618_,11.72
cam_mod_01.camera_init_01.sender.data_temp\[25\],11.72
net4,11.7
_0170_,11.62
_0635_,11.6
_0346_,11.56
_0186_,11.46
sys_rst_i,11.44
_0808_,11.38
_0849_,11.38
cam_mod_01.camera_init_01.sender.count\[6\],11.335
_0668_,11.2
_0294_,11.14
_0876_,11.14
_0743_,11.04
_0785_,10.98
cam_mod_01.camera_init_01.init.count\[9\],10.96
vga_display_01.control.x_poi\[2\],10.83
_0388_,10.8
_0163_,10.78
net44,10.76
_0227_,10.74
cam_mod_01.camera_init_01.sender.data_temp\[16\],10.74
_0401_,10.7
_0791_,10.7
_0767_,10.56
vga_display_01.control.y_poi\[5\],10.52
_0810_,10.48
_0372_,10.46
_0882_,10.34
_0688_,10.32
_0253_,10.3
_0633_,10.12
_0486_,10.04
_0351_,9.8
_0603_,9.78
_0281_,9.68
_0759_,9.68
net39,9.64
_0383_,9.62
_0413_,9.62
_0231_,9.54
_0699_,9.5
_0591_,9.44
_0334_,9.4
_0382_,9.28
_0877_,9.22
_0506_,9.18
_0332_,9.16
_0617_,9.16
cam_mod_01.camera_init_01.init.count\[8\],9.04
_0314_,8.94
_0343_,8.9
_0376_,8.9
cam_mod_01.camera_init_01.data_send\[8\],8.9
cam_mod_01.camera_init_01.sender.data_temp\[4\],8.9
_0337_,8.88
_0192_,8.76
_0270_,8.76
cam_mod_01.camera_init_01.sender.data_temp\[13\],8.72
sys_clk_i,8.72
_0666_,8.62
_0889_,8.62
_0145_,8.6
_0826_,8.52
_0373_,8.5
cam_mod_01.camera_init_01.sender.data_temp\[27\],8.44
_0458_,8.38
_0841_,8.38
_0289_,8.3
_0674_,8.26
_0258_,8.18
_0585_,8.14
_0839_,8.06
sio_c_o,8.04
_0275_,7.98
_0596_,7.98
cam_mod_01.camera_init_01.sender.sccb_ok,7.88
_0236_,7.87
_0043_,7.865
_0425_,7.82
_0189_,7.72
_0254_,7.72
_0377_,7.68
_0788_,7.66
_0218_,7.64
cam_mod_01.camera_init_01.sender.data_temp\[2\],7.62
_0104_,7.52
_0330_,7.52
_0144_,7.48
_0659_,7.44
_0154_,7.38
_0088_,7.345
cam_mod_01.camera_init_01.sender.data_temp\[14\],7.34
_0692_,7.32
_0262_,7.22
_0264_,7.22
_0308_,7.22
_0817_,7.22
_0256_,7.2
_0299_,7.18
_0451_,7.18
_0460_,7.18
_0755_,7.18
